prompt_mode,variant,parent_count,semantic_f1_mean,hier_f1_mean,duplicate_count_mean,invalid_count_mean,unaligned_count_mean,plausible_novel_count_mean,hallucination_count_mean,selected_count_mean
rag,baseline,288,0.5230954167583326,0.26942776778867467,0.10069444444444445,8.368055555555555,6.434027777777778,4.097222222222222,2.3055555555555554,5.0
few,baseline,288,0.5009704596439606,0.23615165216727718,0.013888888888888888,8.395833333333334,6.975694444444445,3.857638888888889,3.1180555555555554,5.0
zero,baseline,288,0.4959175630519337,0.21377677106843773,0.020833333333333332,8.631944444444445,7.222222222222222,3.8680555555555554,3.3472222222222223,5.0
rag,soft_validation_rerank,288,0.46895956179976866,0.3008235687923188,0.10069444444444445,8.368055555555555,6.434027777777778,4.097222222222222,2.3055555555555554,4.159722222222222
zero,soft_validation_rerank,288,0.4672970320800834,0.27378977798708193,0.020833333333333332,8.631944444444445,7.222222222222222,3.8680555555555554,3.3472222222222223,4.451388888888889
rag,soft_validation,288,0.4657720617944849,0.30157967996509666,0.10069444444444445,8.368055555555555,6.434027777777778,4.097222222222222,2.3055555555555554,4.159722222222222
few,soft_validation_rerank,288,0.46503517163089936,0.2815385640140542,0.013888888888888888,8.395833333333334,6.975694444444445,3.857638888888889,3.1180555555555554,4.364583333333333
zero,soft_validation,288,0.46389958533840187,0.27428131509013864,0.020833333333333332,8.631944444444445,7.222222222222222,3.8680555555555554,3.3472222222222223,4.451388888888889
few,soft_validation,288,0.45892159043285957,0.27945542338924695,0.013888888888888888,8.395833333333334,6.975694444444445,3.857638888888889,3.1180555555555554,4.364583333333333
rag,validation_rerank,288,0.17152946606032968,0.1541892640085042,0.10069444444444445,8.368055555555555,6.434027777777778,4.097222222222222,2.3055555555555554,1.3611111111111112
rag,validation,288,0.170514523788168,0.1551927502984488,0.10069444444444445,8.368055555555555,6.434027777777778,4.097222222222222,2.3055555555555554,1.3611111111111112
few,validation_rerank,288,0.16789462556762713,0.16418691262441262,0.013888888888888888,8.395833333333334,6.975694444444445,3.857638888888889,3.1180555555555554,1.3194444444444444
few,validation,288,0.16725001424299066,0.16138758039799705,0.013888888888888888,8.395833333333334,6.975694444444445,3.857638888888889,3.1180555555555554,1.3194444444444444
zero,validation_rerank,288,0.15920246950614386,0.14717678126838665,0.020833333333333332,8.631944444444445,7.222222222222222,3.8680555555555554,3.3472222222222223,1.2430555555555556
zero,validation,288,0.15909234638944683,0.1471469069125319,0.020833333333333332,8.631944444444445,7.222222222222222,3.8680555555555554,3.3472222222222223,1.2430555555555556
